#ID,X,Y,Effort,/,Rgd,Topo,Water,Winter
NoyonSLT035,704393.7885,4778480.042,91,/,20.2147007,Saddle,No,0
NoyonSLT027,746665.2259,4779338.501,88,/,8.3117304,Saddle,No,0
NoyonSLT033,735886.8731,4788699.351,88,/,7.48174,Canyon,No,0
NoyonSLT107,722714.1753,4792665.671,89,/,11.6861,Saddle,No,0
NoyonSLT108,713576.2115,4786070.534,90,/,12.2320004,Saddle,No,0
NoyonSLT024,718003.3436,4784187.073,88,/,11.9937,Saddle,No,0
NoyonSLT020,707048.1213,4787718.371,87,/,16.0562,Saddle,No,0
NoyonSLT016,727458.2659,4783012.233,91,/,8.3252401,Saddle,No,0
NoyonSLT006,716211.3914,4794681.175,90,/,12.8013,Saddle,No,0
NoyonSLT025,711104.4206,4795797.736,90,/,14.2848997,Saddle,No,0
NoyonSLT037,730140.7825,4773841.843,90,/,7.4882698,Saddle,No,0
NoyonSLT105a,734906.0466,4774184.605,90,/,3.3761499,Saddle,No,0
NoyonSLT041,739874.9413,4768407.162,90,/,4.9391999,Saddle,No,0
NoyonSLT040,730601.4814,4770396.3,92,/,10.6897001,Saddle,No,0
NoyonSLT022,727135.9548,4775983.803,89,/,6.8218598,Saddle,No,0
NoyonSLT009,723394.5992,4775473.289,90,/,12.0167999,Saddle,No,0
NoyonSLT019,754660.3703,4776247.751,88,/,10.4362001,Saddle,No,0
NoyonSLT039,755857.543,4770054.178,90,/,11.9169998,Saddle,No,0
NoyonSLT023,748101.7307,4775107.049,90,/,4.74156,Saddle,No,0
NoyonSLT104,733896.9835,4770075.837,91,/,8.1658096,Saddle,No,0
NoyonSLT015,726962.225,4771825.377,91,/,13.7279997,Canyon,No,0
NoyonSLT034,751521.1546,4773001.498,91,/,7.4780598,Saddle,No,0
NoyonSLT105,746380.5287,4771307.498,91,/,5.0511799,Saddle,No,0
NoyonSLT007,743015.6772,4774133.74,80,/,3.33741,Canyon,Yes,0
NoyonSLT003,740612.6011,4778983.449,92,/,6.5189199,Saddle,Yes,0
NoyonSLT102,732335.147,4779440.627,92,/,5.5848699,Canyon,Yes,0
NoyonSLT014,729558.4683,4790274.614,93,/,8.5665903,Saddle,No,0
NoyonSLT103,742343.583,4790670.932,92,/,9.16782,Saddle,No,0
NoyonSLT018,737404.9225,4790596.352,93,/,8.3662004,Canyon,No,0
NoyonA1,692234.24,4794440.855,90,/,6,Steppe,No,0