#Poly ID,X,Y,Usage,/,Camera
1,503193,4080537,30,/,Reconyx
2,502713,4079509,30,/,Reconyx
3,526535,4077758,29,/,Reconyx
4,525628,4076249,29,/,Reconyx
5,496405,4080444,28,/,Reconyx
6,499893,4079738,28,/,Cam_Trekker
7,496357,4082381,28,/,Reconyx
8,502858,4079081,27,/,Cam_Trekker
9,511947,4079969,27,/,Cam_Trekker
10,514878,4081707,27,/,Cam_Trekker
11,508740,4095458,10,/,Reconyx
12,499804,4089899,10,/,Reconyx
13,503482,4092938,11,/,Reconyx
14,502425,4091159,11,/,Reconyx
15,501809,4089965,10,/,Reconyx
16,509578,4094619,10,/,Reconyx
17,513605,4091991,10,/,Reconyx
18,511632,4093254,10,/,Reconyx
19,515103,4091091,10,/,Reconyx
20,515978,4090649,10,/,Reconyx
21,501417,4086884,11,/,Reconyx
22,500913,4089356,11,/,Reconyx
23,501451,4087920,10,/,Reconyx
24,512923,4086489,11,/,Reconyx
25,513487,4085534,11,/,Reconyx
26,516967,4088127,10,/,Reconyx
27,518601,4085928,10,/,Reconyx
28,522258,4086920,10,/,Reconyx
29,520872,4086214,10,/,Reconyx
30,528457,4088641,10,/,Reconyx
31,526649,4089176,10,/,Reconyx
32,496367,4080390,10,/,Reconyx
33,496768,4082038,10,/,Reconyx
34,503198,4080526,10,/,Reconyx
35,502802,4083215,10,/,Reconyx
36,503128,4081838,10,/,Reconyx
37,507476,4080955,10,/,Reconyx
38,507551,4079789,10,/,Reconyx
39,514212,4084748,11,/,Reconyx
40,514905,4084037,11,/,Reconyx
41,512041,4080693,10,/,Reconyx
42,517867,4084272,10,/,Reconyx
43,517087,4083622,10,/,Reconyx
44,515111,4082053,10,/,Reconyx
45,524138,4084874,10,/,Reconyx
46,525664,4080107,11,/,Reconyx
47,525892,4080691,11,/,Reconyx
48,487349,4075229,10,/,Reconyx
49,487894,4076545,10,/,Reconyx
50,496902,4079630,10,/,Reconyx
51,499304,4079254,10,/,Reconyx
52,496106,4074695,10,/,Reconyx
53,502517,4078950,10,/,Reconyx
54,501743,4077085,10,/,Reconyx
55,507683,4079046,10,/,Reconyx
56,507169,4077317,10,/,Reconyx
57,509693,4079739,10,/,Reconyx
58,512455,4079178,10,/,Reconyx
59,513732,4077251,10,/,Reconyx
60,516886,4078104,12,/,Reconyx
61,517330,4076574,12,/,Reconyx
62,517653,4077984,10,/,Reconyx
63,522558,4077367,11,/,Reconyx
64,521480,4077186,11,/,Reconyx
65,526969,4078321,10,/,Reconyx
66,525894,4076855,10,/,Reconyx
67,532932,4077201,12,/,Reconyx
68,534271,4077647,12,/,Reconyx
69,535585,4078190,12,/,Reconyx
70,536709,4078382,12,/,Reconyx
71,488492,4070872,9,/,Reconyx
72,487666,4071707,10,/,Reconyx
73,487886,4070178,10,/,Reconyx
74,493255,4072433,11,/,Reconyx
75,492144,4072897,11,/,Reconyx
76,494628,4073677,10,/,Reconyx
77,498366,4072024,11,/,Reconyx
78,499046,4071369,11,/,Reconyx
79,495065,4072569,10,/,Reconyx
80,500098,4070279,10,/,Reconyx
81,506513,4074752,10,/,Reconyx
82,514716,4074328,10,/,Reconyx
83,524466,4074840,11,/,Reconyx
84,524525,4075785,10,/,Reconyx
85,525912,4074442,11,/,Reconyx
86,529180,4074077,11,/,Reconyx
87,530019,4073259,11,/,Reconyx
88,530493,4071446,11,/,Reconyx
89,532030,4069744,11,/,Reconyx
90,532939,4069601,11,/,Reconyx
91,484779,4065240,10,/,Reconyx
92,484877,4066301,10,/,Reconyx
93,484791,4067024,10,/,Reconyx
94,485857,4066078,10,/,Reconyx
95,487203,4069441,10,/,Reconyx
96,483803,4064782,10,/,Reconyx
97,524967,4033053,10,/,Reconyx
98,523305,4033312,10,/,Reconyx
99,529890,4040121,10,/,Reconyx
100,530114,4041700,10,/,Reconyx
101,520532,4037484,10,/,Reconyx
102,522131,4037407,10,/,Reconyx
103,529254,4034949,10,/,Reconyx
104,527977,4035123,10,/,Reconyx
105,532125,4035759,10,/,Reconyx
106,532211,4038226,10,/,Reconyx
107,537972,4036375,10,/,Reconyx
108,534870,4037025,11,/,Reconyx
109,541832,4035648,10,/,Reconyx
110,540464,4036319,10,/,Reconyx
111,529832,4031425,12,/,Reconyx
112,527219,4031913,12,/,Reconyx
113,531543,4033706,10,/,Reconyx
114,533240,4032326,10,/,Reconyx
115,536166,4032884,10,/,Reconyx
116,535739,4031378,10,/,Reconyx
117,540704,4034301,10,/,Reconyx
118,541609,4034081,10,/,Reconyx
119,530036,4029589,12,/,Reconyx
120,526901,4029515,12,/,Reconyx
121,534473,4025911,10,/,Reconyx
122,534231,4029400,10,/,Reconyx
123,538286,4024561,10,/,Reconyx
124,540146,4024433,10,/,Reconyx
125,540753,4020237,10,/,Reconyx
126,541234,4020607,10,/,Reconyx
127,546712,4021177,10,/,Reconyx
128,546548,4021841,10,/,Reconyx
129,543579,4016162,10,/,Reconyx
130,543557,4018506,10,/,Reconyx
131,543769,4011939,10,/,Reconyx
132,543632,4013847,10,/,Reconyx
133,480509,4073685,30,/,Reconyx
134,481025,4075606,30,/,Reconyx
135,481111,4077412,30,/,Reconyx
136,481801,4078969,30,/,Reconyx
137,476275,4072721,30,/,Reconyx
138,478775,4070443,30,/,Reconyx
139,480927,4068328,30,/,Reconyx
140,473922,4076830,33,/,Reconyx
141,473657,4078453,30,/,Reconyx
142,474504,4080566,34,/,Reconyx
143,474627,4082315,34,/,Reconyx
144,474208,4083867,30,/,Reconyx
145,475105,4085105,30,/,Reconyx
146,474882,4086292,30,/,Reconyx
147,477602,4088669,30,/,Reconyx
148,479459,4089567,30,/,Reconyx
149,480493,4091410,30,/,Reconyx
150,481545,4093273,30,/,Reconyx
151,482668,4094940,30,/,Reconyx
152,485143,4095491,30,/,Reconyx
153,475244,4089415,32,/,Reconyx
154,474739,4091089,32,/,Reconyx
155,473718,4092253,32,/,Reconyx
156,472983,4093575,32,/,Reconyx
157,472245,4094909,30,/,Reconyx
158,471861,4096352,30,/,Reconyx
159,471548,4098047,30,/,Reconyx
160,475418,4087856,30,/,Reconyx
161,475928,4087555,30,/,Reconyx
162,469611,4098761,30,/,Reconyx
163,467859,4098267,30,/,Reconyx
164,466183,4097520,30,/,Reconyx
165,463900,4096882,30,/,Reconyx
166,471050,4099395,30,/,Reconyx
167,471517,4100874,30,/,Reconyx
168,467115,4079354,30,/,Reconyx
169,468085,4082405,30,/,Reconyx
170,467831,4080810,30,/,Reconyx
171,470959,4076310,30,/,Reconyx
172,468591,4077538,30,/,Reconyx
173,465670,4079809,32,/,Reconyx
174,463929,4080792,30,/,Reconyx
175,462092,4081629,30,/,Reconyx
176,461324,4082022,30,/,Reconyx
177,459793,4083046,30,/,Reconyx
178,458146,4084209,31,/,Reconyx
179,456874,4084910,31,/,Reconyx
180,455641,4086019,31,/,Reconyx
181,456475,4085782,31,/,Reconyx
182,452704,4087881,30,/,Reconyx
183,453034,4086601,31,/,Reconyx
184,450790,4087967,30,/,Reconyx
185,449562,4088781,30,/,Reconyx
186,449517,4089785,30,/,Reconyx
187,447892,4088646,31,/,Reconyx
188,447544,4087641,30,/,Reconyx
189,447099,4087427,30,/,Reconyx
190,445681,4088428,30,/,Reconyx
191,445389,4089230,30,/,Reconyx
192,479408,4005396,51,/,Reconyx
193,477043,4003508,51,/,Reconyx
194,477502,4004585,51,/,Reconyx
195,478092,4006208,51,/,Reconyx
196,487071,4001860,51,/,Reconyx
197,488593,4000919,51,/,Reconyx
198,489498,4000441,51,/,Reconyx
199,490384,3999596,51,/,Reconyx
200,485190,4006051,51,/,Reconyx
201,486784,4005101,51,/,Reconyx
202,484955,4003455,50,/,Reconyx
203,481343,4006889,50,/,Reconyx
204,510249,4001631,63,/,Reconyx
205,508500,4002204,63,/,Reconyx
206,507436,4002111,63,/,Reconyx
207,507492,4002949,60,/,Reconyx
208,506450,4002841,60,/,Reconyx
209,505395,4002440,60,/,Reconyx
210,505036,4002836,60,/,Reconyx
211,504697,4000196,60,/,Reconyx
212,502842,4000933,60,/,Reconyx
213,501405,3999669,60,/,Reconyx
214,496910,4003872,61,/,Reconyx
215,498770,4002581,61,/,Reconyx
216,494840,4004589,60,/,Reconyx
217,493863,4005631,61,/,Reconyx
218,497431,4005944,63,/,Reconyx
219,511098,4002332,62,/,Reconyx
220,511233,4003774,62,/,Reconyx
221,510958,4005755,62,/,Reconyx
222,512485,4003505,62,/,Reconyx
223,512348,4001696,62,/,Reconyx
224,518476,3999586,62,/,Reconyx
225,518338,3998524,62,/,Reconyx
226,517207,3998051,62,/,Reconyx
227,516115,3998361,62,/,Reconyx
228,519030,3998583,62,/,Reconyx
229,519514,3997230,62,/,Reconyx
289,343711,4075594,14,/,Reconyx
290,342626,4075121,14,/,Reconyx
291,345580,4073276,14,/,Reconyx
292,346704,4073304,14,/,Reconyx
293,349892,4074715,14,/,Reconyx
294,350204,4074444,14,/,Reconyx
295,347421,4076867,14,/,Reconyx
296,347184,4077664,14,/,Reconyx
297,349634,4078225,14,/,Reconyx
298,350124,4078934,14,/,Reconyx
299,355519,4079885,14,/,Reconyx
300,354588,4079625,14,/,Reconyx
301,354029,4077330,14,/,Reconyx
302,354666,4076547,14,/,Reconyx
303,363391,4078333,14,/,Reconyx
304,360615,4078525,14,/,Reconyx
305,365333,4080785,15,/,Reconyx
306,367870,4079312,15,/,Reconyx
307,363266,4076862,14,/,Reconyx
308,375797,4082352,15,/,Reconyx
309,372320,4079732,15,/,Reconyx
310,376134,4081125,15,/,Reconyx
311,377207,4081551,15,/,Reconyx
312,366181,4075762,14,/,Reconyx
313,367335,4075329,14,/,Reconyx
314,370042,4073617,14,/,Reconyx
315,370034,4074254,14,/,Reconyx
316,373976,4074090,14,/,Reconyx
317,375269,4073720,14,/,Reconyx
318,370892,4077601,14,/,Reconyx
319,380684,4082527,15,/,Reconyx
320,382364,4082932,15,/,Reconyx
321,382956,4083105,15,/,Reconyx
322,380076,4080646,15,/,Reconyx
323,381259,4080808,15,/,Reconyx
324,388156,4082681,14,/,Reconyx
325,386381,4083145,14,/,Reconyx
326,388163,4081192,14,/,Reconyx
327,386143,4081998,14,/,Reconyx
328,389318,4081023,14,/,Reconyx
329,390829,4080836,14,/,Reconyx
330,394232,4080574,14,/,Reconyx
331,394946,4081509,14,/,Reconyx
332,399287,4079284,14,/,Reconyx
333,399900,4078391,14,/,Reconyx
334,403940,4076498,14,/,Reconyx
335,406108,4075108,14,/,Reconyx
336,410986,4072734,13,/,Reconyx
337,410126,4073274,14,/,Reconyx
338,407787,4070969,14,/,Reconyx
339,408616,4071251,14,/,Reconyx
340,410804,4070400,14,/,Reconyx
341,410406,4069420,14,/,Reconyx
342,411061,4065613,16,/,Reconyx
343,410700,4066723,16,/,Reconyx
344,408893,4061013,16,/,Reconyx
345,409879,4061286,16,/,Reconyx
346,414651,4058695,16,/,Reconyx
347,415556,4059132,16,/,Reconyx
348,413296,4060164,15,/,Reconyx
349,414902,4055598,15,/,Reconyx
350,417299,4054592,15,/,Reconyx
351,420932,4054667,14,/,Reconyx
352,423508,4055771,14,/,Reconyx
353,424457,4055475,14,/,Reconyx
354,425207,4054893,14,/,Reconyx
355,412951,4050592,14,/,Reconyx
356,414115,4050639,14,/,Reconyx
357,415676,4050782,14,/,Reconyx
358,415648,4048864,14,/,Reconyx
359,423597,4057232,14,/,Reconyx
360,423525,4058261,14,/,Reconyx
361,418290,4046843,14,/,Reconyx
362,419225,4046444,14,/,Reconyx
363,422133,4045269,14,/,Reconyx
364,414027,4044121,14,/,Reconyx
365,410181,4042738,14,/,Reconyx
366,410564,4041808,14,/,Reconyx
367,409677,4041861,14,/,Reconyx
368,416546,4041964,14,/,Reconyx
369,475511,3844050,36,/,Reconyx
370,474653,3847841,33,/,Reconyx
371,474565,3848310,33,/,Reconyx
372,476244,3849316,33,/,Reconyx
373,475856,3848266,33,/,Reconyx
374,475995,3845908,32,/,Reconyx
375,475611,3847026,32,/,Reconyx
376,476519,3846114,32,/,Reconyx
378,477951,3844816,31,/,Reconyx
379,481032,3847496,31,/,Reconyx
380,481409,3848655,31,/,Reconyx
381,482159,3849145,31,/,Reconyx
382,481241,3846819,31,/,Reconyx
383,482266,3846332,31,/,Reconyx
384,482887,3846857,31,/,Reconyx
385,473630,3844321,32,/,Reconyx
387,470131,3849112,32,/,Reconyx
388,470897,3845679,32,/,Reconyx
389,472277,3845250,30,/,Reconyx
390,467247,3848823,30,/,Reconyx
391,465814,3848545,30,/,Reconyx
392,463143,3853202,30,/,Reconyx
393,463615,3854262,30,/,Reconyx
394,464962,3854472,30,/,Reconyx
395,465050,3855841,30,/,Reconyx
396,467815,3851593,21,/,Reconyx
398,466144,3851212,30,/,Reconyx
400,463820,3851246,30,/,Reconyx
401,472761,3842360,30,/,Reconyx
402,472038,3842950,30,/,Reconyx
403,471270,3843617,30,/,Reconyx
404,470361,3844082,30,/,Reconyx
405,453312,3850595,19,/,Reconyx
406,452466,3851024,19,/,Reconyx
407,449987,3852125,19,/,Reconyx
408,450384,3851356,19,/,Reconyx
409,235209,4022504,41,/,Reconyx
410,236078,4022831,41,/,Reconyx
411,234003,4022690,41,/,Reconyx
412,236371,4023257,41,/,Reconyx
413,237443,4023862,41,/,Reconyx
414,238043,4025088,41,/,Reconyx
415,242060,4026512,41,/,Reconyx
416,245396,4029110,41,/,Reconyx
417,241603,4025387,40,/,Reconyx
418,240457,4025091,40,/,Reconyx
419,239058,4025070,40,/,Reconyx
420,256660,4035725,40,/,Reconyx
421,254082,4033557,40,/,Reconyx
422,255026,4033829,40,/,Reconyx
423,260235,4037346,40,/,Reconyx
424,260908,4035561,41,/,Reconyx
425,264338,4035498,40,/,Reconyx
426,255590,4033209,40,/,Reconyx
427,258130,4034979,40,/,Reconyx
428,261281,4043260,41,/,Reconyx
429,260480,4043656,41,/,Reconyx
430,260052,4043568,41,/,Reconyx
431,262042,4042545,41,/,Reconyx
432,262983,4041972,41,/,Reconyx
433,247988,4032100,43,/,Reconyx
434,247328,4032864,42,/,Reconyx
435,246625,4034215,41,/,Reconyx
436,244388,4037351,41,/,Reconyx
437,537688,3957055,52,/,Reconyx
438,537714,3957928,51,/,Reconyx
439,532308,3961253,52,/,Reconyx
440,532921,3961624,52,/,Reconyx
441,539665,3964824,51,/,Reconyx
442,540145,3963534,51,/,Reconyx
443,538474,3960919,50,/,Reconyx
444,538221,3958864,50,/,Reconyx
445,535245,3972204,52,/,Reconyx
446,538785,3970367,52,/,Reconyx
447,535363,3977527,52,/,Reconyx
448,540167,3978229,52,/,Reconyx
449,541351,3977586,52,/,Reconyx
450,538703,3979829,52,/,Reconyx
451,538203,3977801,52,/,Reconyx
452,539175,3980208,52,/,Reconyx
453,532339,3952503,52,/,Reconyx
454,537806,3965695,46,/,Reconyx
455,533301,3952931,52,/,Reconyx
456,534342,3957539,45,/,Reconyx
457,539459,3945086,51,/,Reconyx
458,538562,3944814,51,/,Reconyx
459,541227,3942327,50,/,Reconyx
460,544442,3939965,50,/,Reconyx
461,548101,3930876,50,/,Reconyx
462,546566,3930660,50,/,Reconyx
463,545019,3939058,50,/,Reconyx
464,553425,3927158,50,/,Reconyx
465,552726,3926754,50,/,Reconyx
466,541749,3941936,50,/,Reconyx
537,540915.1578,3863649.826,17,/,Reconyx
538,550046.0992,3879030.649,19,/,Reconyx
539,556998.2856,3874634.322,19,/,Reconyx
540,554250.9878,3874171.714,19,/,Reconyx
541,550994.9642,3878306.183,19,/,Reconyx
542,535530.5054,3873877.616,16,/,Reconyx
543,535478.2892,3876038.835,16,/,Reconyx
544,545214.6949,3865371.273,16,/,Reconyx
545,541311.56,3869114.472,16,/,Reconyx
546,542344.471,3870216.001,16,/,Reconyx
547,547042.3464,3869965.099,16,/,Reconyx
548,545173.66,3868128.026,16,/,Reconyx
549,545915.0869,3866306.32,16,/,Reconyx
550,542177.8701,3865374.491,16,/,Reconyx
551,529924.5132,3874389.786,16,/,Reconyx
552,531179.4168,3873754.112,16,/,Reconyx
553,534768.4992,3867677.68,16,/,Reconyx
554,531988.0097,3867464.57,16,/,Reconyx
555,535024.6414,3868980.6,16,/,Reconyx
556,533907.9304,3866076.409,16,/,Reconyx
557,531220.0756,3868271.462,16,/,Reconyx
558,537501.4927,3865419.526,16,/,Reconyx
559,540694.4836,3874210.85,15,/,Reconyx
560,532349.4122,3863904.938,16,/,Reconyx
561,539446.1953,3875071.484,15,/,Reconyx
562,538138.2329,3866474.584,16,/,Reconyx
563,542183.474,3880532.3,16,/,Reconyx
564,532124.214,3879846.854,15,/,Reconyx
565,545537.1298,3875971.588,15,/,Reconyx
566,537530.9998,3878655.429,16,/,Reconyx
567,536753.1743,3880436.634,16,/,Reconyx
568,531034.5215,3881189.387,15,/,Reconyx
569,545928.4855,3874163.653,15,/,Reconyx
570,540871.3054,3879941.857,16,/,Reconyx
571,564984.9802,3869881.204,15,/,Reconyx
572,559917.4613,3873755.849,15,/,Reconyx
573,555717.9393,3880628.483,15,/,Reconyx
574,552102.3364,3869183.021,15,/,Reconyx
575,563349.0947,3870922.174,15,/,Reconyx
576,549976.4591,3873938.763,15,/,Reconyx
577,564711.7137,3868636.027,15,/,Reconyx
578,562529.7979,3871261.429,15,/,Reconyx
579,551621.6836,3871357.278,15,/,Reconyx
580,561050.525,3873663.559,15,/,Reconyx
581,551736.6103,3875390.315,15,/,Reconyx
582,554208.5205,3880993.099,15,/,Reconyx
583,560192.7487,3877389.769,15,/,Reconyx
584,559280.2918,3879675.06,15,/,Reconyx
585,545955.3612,3877697.093,15,/,Reconyx
586,547579.3138,3877791.944,15,/,Reconyx
587,554157.4018,3885742.807,16,/,Reconyx
588,555099.4243,3886087.846,16,/,Reconyx
589,545866.6148,3887683.376,15,/,Reconyx
590,546255.2144,3883656.258,15,/,Reconyx
591,545764.1075,3889039.202,15,/,Reconyx
592,545261.6721,3883474.916,15,/,Reconyx
593,550456.0066,3886340.31,14,/,Reconyx
594,549663.838,3886894.892,14,/,Reconyx
595,583412.2869,3866760.378,15,/,Reconyx
596,586964.2429,3871445.117,15,/,Reconyx
597,584054.1193,3867181.065,15,/,Reconyx
598,585465.174,3866881.399,15,/,Reconyx
599,585703.1698,3867310.633,15,/,Reconyx
600,586254.6812,3868963.957,15,/,Reconyx
601,579135.5192,3873161.653,15,/,Reconyx
602,573468.8516,3869663.888,15,/,Reconyx
603,574103.0445,3870490.837,15,/,Reconyx
604,575597.1654,3871737.5,15,/,Reconyx
605,576724.6098,3872151.733,15,/,Reconyx
606,578059.3798,3872644.409,15,/,Reconyx
607,581086.0125,3872219.435,15,/,Reconyx
608,582903.4233,3872104.91,15,/,Reconyx
609,584079.9634,3874085.458,15,/,Reconyx
610,585439.7488,3875344.754,15,/,Reconyx
611,584009.6855,3873492.547,15,/,Reconyx
612,586947.2216,3874664.716,15,/,Reconyx
613,566717.7961,3882447.134,15,/,Reconyx
614,564343.8412,3882184.905,15,/,Reconyx
615,562590.0246,3882144.926,15,/,Reconyx
616,563555.6666,3882252.555,15,/,Reconyx
617,577155.6619,3881703.52,15,/,Reconyx
618,576054.8352,3883483.21,15,/,Reconyx
619,576614.618,3882719.311,15,/,Reconyx
620,575660.0639,3882065.816,15,/,Reconyx
621,574484.4697,3888885.91,15,/,Reconyx
622,575361.7605,3888344.156,15,/,Reconyx
623,570772.1306,3887579.603,15,/,Reconyx
624,569854.4312,3883098.452,15,/,Reconyx
625,569541.0485,3879733.335,15,/,Reconyx
626,570421.7039,3882243.297,15,/,Reconyx
627,570613.3308,3880930.528,15,/,Reconyx
628,567718.5695,3892976.377,16,/,Reconyx
629,566946.3313,3892365.072,16,/,Reconyx
630,562490.5943,3891282.928,15,/,Reconyx
631,562242.9144,3892070.881,15,/,Reconyx
632,560399.2067,3892687.236,15,/,Reconyx
633,553186.2265,3892838.286,15,/,Reconyx
634,552290.0234,3891607.565,15,/,Reconyx
635,553590.3782,3891478.754,15,/,Reconyx
636,571982.601,3893488.414,16,/,Reconyx
637,564815.947,3888078.518,16,/,Reconyx
638,565990.9904,3888367.591,16,/,Reconyx
639,569204.9875,3890435.603,16,/,Reconyx
640,570720.7607,3893110.245,16,/,Reconyx
641,551383.9274,3896407.893,15,/,Reconyx
642,554118.0717,3895375.785,15,/,Reconyx
643,559151.4216,3898013.624,16,/,Reconyx
644,559976.1727,3897295.943,16,/,Reconyx
645,555569.203,3890917.299,15,/,Reconyx
646,554135.8396,3887981.839,15,/,Reconyx
647,575475.2724,3893310.573,15,/,Reconyx
648,574283.6673,3893264.114,15,/,Reconyx
649,552328.5809,3900523.487,15,/,Reconyx
650,553445.6709,3901628.007,15,/,Reconyx
651,559122.8408,3900156.172,15,/,Reconyx
652,557379.9789,3892624.341,15,/,Reconyx
653,325449.5703,4073307.108,34,/,Reconyx
654,327075.906,4075894.532,33,/,Reconyx
655,330214.0725,4076943.568,33,/,Reconyx
656,324324.9497,4071713.001,33,/,Reconyx
657,330386.0351,4074508.329,32,/,Reconyx
658,322835.808,4074777.309,32,/,Reconyx
659,321157.42,4073145.169,32,/,Reconyx
660,313794.6125,4069305.507,31,/,Reconyx
661,313851.7457,4068319.671,31,/,Reconyx
662,318140.2614,4069897.848,31,/,Reconyx
663,317922.3221,4068346.284,31,/,Reconyx
664,320444.5362,4070789.233,31,/,Reconyx
665,321430.3795,4070786.315,31,/,Reconyx
666,314216.5786,4063974.903,31,/,Reconyx
667,314518.7933,4065217.107,31,/,Reconyx
668,313091.4216,4060991.264,31,/,Reconyx
669,313777.0589,4060778.746,31,/,Reconyx
670,312819.3474,4045991.086,32,/,Reconyx
671,313064.3769,4055072.178,31,/,Reconyx
672,311619.5652,4050550.511,31,/,Reconyx
673,310384.7273,4050454.456,31,/,Reconyx
674,315328.6291,4053768.869,31,/,Reconyx
675,317840.6715,4053273.433,31,/,Reconyx
676,303438.3023,4048375.954,31,/,Reconyx
677,303019.5438,4047921.525,31,/,Reconyx
678,304449.0295,4044971.679,31,/,Reconyx
679,304442.175,4051329.148,31,/,Reconyx
680,305310.1515,4050641.181,31,/,Reconyx
681,300471.2531,4045780.061,31,/,Reconyx
682,302270.1562,4044380.932,31,/,Reconyx
683,298190.8214,4043767.318,31,/,Reconyx
684,297218.0509,4042638.979,31,/,Reconyx
685,295537.9617,4041515.272,31,/,Reconyx
686,295639.1743,4041777.081,31,/,Reconyx
687,299531.156,4041912.139,31,/,Reconyx
688,299826.191,4041417.954,31,/,Reconyx
689,297563.0068,4036751.769,31,/,Reconyx
690,297565.0808,4035807.03,31,/,Reconyx
691,299670.4841,4036407.329,31,/,Reconyx
692,300581.6172,4035591.428,31,/,Reconyx
693,310844.8982,4040177.901,31,/,Reconyx
694,300924.2838,4031659.454,31,/,Reconyx
695,291230.5098,4039044.066,31,/,Reconyx
696,290802.8899,4038158.528,31,/,Reconyx
697,288750.9149,4037632.335,31,/,Reconyx
698,288395.9374,4038004.059,31,/,Reconyx
699,284515.8507,4030884.838,31,/,Reconyx
700,285460.6145,4030691.496,31,/,Reconyx
701,287949.6715,4032972.586,31,/,Reconyx
702,287567.6284,4032395.794,31,/,Reconyx
703,278545.4369,4022908.62,31,/,Reconyx
704,280969.2945,4020203.651,31,/,Reconyx
705,293022.0664,4033399.161,31,/,Reconyx
706,294000.9444,4033402.417,31,/,Reconyx
707,290542.1276,4024933.01,31,/,Reconyx
708,289605.2627,4024296.277,31,/,Reconyx
709,288744.6189,4024139.584,31,/,Reconyx
710,288090.3418,4023681.516,31,/,Reconyx
711,486221.6445,3863381.004,11,/,Reconyx
712,485570.4478,3868834.295,12,/,Reconyx
713,485926.0244,3869357.834,11,/,Reconyx
714,486057.7307,3864077.451,11,/,Reconyx
715,490842.2695,3868424.043,11,/,Reconyx
716,499053.7907,3865798.045,11,/,Reconyx
717,486085.5546,3863994.238,11,/,Reconyx
718,499375.9646,3865539.189,11,/,Reconyx
719,497339.529,3867936.11,11,/,Reconyx
720,496984.4088,3867803.812,13,/,Reconyx
721,491312.5995,3866944.903,11,/,Reconyx
722,493478.9401,3867251.166,11,/,Reconyx
723,492563.4159,3867298.109,11,/,Reconyx
724,493441.0887,3870993.921,11,/,Reconyx
725,496809.5348,3867988.734,11,/,Reconyx
726,499525.337,3859523.155,11,/,Reconyx
727,493467.8661,3869512.223,11,/,Reconyx
728,497797.8791,3864948.03,11,/,Reconyx
729,497721.8137,3865006.601,11,/,Reconyx
730,494789.9533,3866751.295,11,/,Reconyx
731,495545.6845,3866399.69,11,/,Reconyx
732,488865.9663,3869867.886,10,/,Reconyx
733,488691.7201,3870468.713,10,/,Reconyx
734,489084.8902,3868515.247,11,/,Reconyx
735,488699.4759,3868549.65,11,/,Reconyx
