#Session,ID,Occasion,Detector,Sex,Site
1,Anu,1,TostSLT002,F,Tost
1,Cub,1,TostSLT002,U,Tost
1,Ariun/Spooky,1,TostSLT002,M,Tost
1,Agnes,1,TostSLT003,F,Tost
1,F8/Agnes cub1,1,TostSLT003,F,Tost
1,F8/Agnes cub1,1,TostSLT007,F,Tost
1,Agnes,1,TostSLT007,F,Tost
1,Aztai,1,TostSLT008,M,Tost
1,Aztai,1,TostSLT008,M,Tost
1,Aztai,1,TostSLT008,M,Tost
1,Suhder,1,TostSLT011,F,Tost
1,Ariun/Spooky,1,TostSLT011,M,Tost
1,Devekh,1,TostSLT012,M,Tost
1,Ariun/Spooky,1,TostSLT014,M,Tost
1,Ariun/Spooky,1,TostSLT014,M,Tost
1,Agnes,1,TostSLT014,F,Tost
1,Tenger,1,TostSLT016,F,Tost
1,Devekh,1,TostSLT016,M,Tost
1,NEC,1,TostSLT017,U,Tost
1,Shinejh,1,TostSLT017,F,Tost
1,Lasya,1,TostSLT019,F,Tost
1,Lasya cub1,1,TostSLT019,U,Tost
1,Lasya cub2,1,TostSLT019,U,Tost
1,Ariun/Spooky,1,TostSLT019,M,Tost
1,Devekh,1,TostSLT020,M,Tost
1,Shinejh,1,TostSLT020,F,Tost
1,Shinejh cub1,1,TostSLT020,U,Tost
1,Shinejh cub2,1,TostSLT020,U,Tost
1,Devekh,1,TostSLT020,M,Tost
1,Devekh,1,TostSLT020,M,Tost
1,Devekh,1,TostSLT020,M,Tost
1,Suuder?,1,TostSLT021,F,Tost
1,Tenger,1,TostSLT022,F,Tost
1,Aztai,1,TostSLT024,M,Tost
1,Aztai,1,TostSLT025,M,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Aztai,1,TostSLT025,M,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Devekh,1,TostSLT025,M,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Suhder Cub 1,1,TostSLT025,U,Tost
1,Aztai,1,TostSLT029,M,Tost
1,Devekh,1,TostSLT030,M,Tost
1,Ariun/Spooky,1,TostSLT030,M,Tost
1,Agnes,1,TostSLT031,F,Tost
1,Agnes,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,Agnes,1,TostSLT031,F,Tost
1,F8/Agnes cub1,1,TostSLT031,F,Tost
1,Agnes,1,TostSLT031,F,Tost
1,Agnes,1,TostSLT031,F,Tost
1,Ariun/Spooky,1,TostSLT032,M,Tost
1,F8/Agnes cub1,1,TostSLT032,F,Tost
1,F8/Agnes cub1,1,TostSLT032,F,Tost
1,Ariun/Spooky,1,TostSLT033,M,Tost
1,Anu,1,TostSLT033,F,Tost
1,Suuder?,1,TostSLT033,F,Tost
1,Anu,1,TostSLT033,F,Tost
1,Anu,1,TostSLT034,F,Tost
1,Inquisitive Cub 1,1,TostSLT034,U,Tost
1,Ariun/Spooky,1,TostSLT035,M,Tost
1,Anu,1,TostSLT035,F,Tost
1,Ariun/Spooky,1,TostSLT035,M,Tost
1,Khashaa,1,TostSLT036,F,Tost
1,Khashaa,1,TostSLT036,F,Tost
1,Khashaa,1,TostSLT036,F,Tost
1,Aztai,1,TostSLT036,M,Tost
1,Devekh,1,TostSLT036,M,Tost
1,Devekh,1,TostSLT037,M,Tost
1,Devekh,1,TostSLT037,M,Tost
1,Ariun/Spooky,1,TostSLT039,M,Tost
1,Ariun/Spooky,1,TostSLT039,M,Tost
1,Agnes,1,TostSLT039,F,Tost
1,Aztai,1,TostSLT040,M,Tost
1,Aztai,1,TostSLT040,M,Tost
1,Suhder Cub 1,1,TostSLT040,U,Tost
1,Tenger,1,TostSLT040,F,Tost
1,Tenger,1,TostSLT040,F,Tost
1,Tenger cub,1,TostSLT040,U,Tost
1,Lasya,1,TostSLT101,F,Tost
1,Lasya,1,TostSLT101,F,Tost
1,Lasya,1,TostSLT101,F,Tost
1,Lasya,1,TostSLT101,F,Tost
1,Ariun/Spooky,1,TostSLT101,M,Tost
1,Lasya,1,TostSLT102,F,Tost
1,Ariun/Spooky,1,TostSLT102,M,Tost
1,Devekh,1,TostSLT102,M,Tost
1,Devekh,1,TostSLT102,M,Tost
1,Agnes,1,TostSLT103,F,Tost
1,F8/Agnes cub1,1,TostSLT103,F,Tost
1,Agnes,1,TostSLT103,F,Tost
1,F8/Agnes cub1,1,TostSLT103,F,Tost
1,F8/Agnes cub1,1,TostSLT103,F,Tost
1,Ariun/Spooky,1,TostSLT103,M,Tost
1,Khashaa,1,TostSLT104,F,Tost
1,Devekh,1,TostSLT104,M,Tost
1,Khashaa,1,TostSLT104,F,Tost
1,Lasya,1,TostSLT104,F,Tost
1,Lasya,1,TostSLT104,F,Tost
1,Lasya cub1,1,TostSLT104,U,Tost
1,Lasya cub2,1,TostSLT104,U,Tost
2,Siri,1,NoyonSLT003,NA,Noyon
2,Gina,1,NoyonSLT006,NA,Noyon
2,Arnica,1,NoyonSLT006,NA,Noyon
2,Arnica,1,NoyonSLT006,NA,Noyon
2,Gina,1,NoyonSLT006,NA,Noyon
2,Gina,1,NoyonSLT006,NA,Noyon
2,Gina,1,NoyonSLT006,NA,Noyon
2,Siri,1,NoyonSLT007,NA,Noyon
2,Jen,1,NoyonSLT007,NA,Noyon
2,Siri,1,NoyonSLT007,NA,Noyon
2,Jen,1,NoyonSLT007,NA,Noyon
2,Jcub1,1,NoyonSLT007,NA,Noyon
2,Jcub2,1,NoyonSLT007,NA,Noyon
2,Jen,1,NoyonSLT007,NA,Noyon
2,Jcub1,1,NoyonSLT007,NA,Noyon
2,Jcub2,1,NoyonSLT007,NA,Noyon
2,Jen,1,NoyonSLT007,NA,Noyon
2,Jcub1,1,NoyonSLT007,NA,Noyon
2,Brad,1,NoyonSLT009,NA,Noyon
2,Abi,1,NoyonSLT014,NA,Noyon
2,Abi,1,NoyonSLT014,NA,Noyon
2,Matt,1,NoyonSLT014,NA,Noyon
2,Deborah,1,NoyonSLT015,NA,Noyon
2,Kimberley,1,NoyonSLT015,NA,Noyon
2,Brad,1,NoyonSLT015,NA,Noyon
2,Brad,1,NoyonSLT015,NA,Noyon
2,Abi,1,NoyonSLT018,NA,Noyon
2,Matt,1,NoyonSLT018,NA,Noyon
2,Matt,1,NoyonSLT019,NA,Noyon
2,Marika,1,NoyonSLT020,NA,Noyon
2,Matt,1,NoyonSLT020,NA,Noyon
2,Antonia,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Antonia,1,NoyonSLT022,NA,Noyon
2,Brad,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Deborah,1,NoyonSLT022,NA,Noyon
2,Siri,1,NoyonSLT023,NA,Noyon
2,Katie,1,NoyonSLT023,NA,Noyon
2,Matt,1,NoyonSLT024,NA,Noyon
2,Arnica,1,NoyonSLT024,NA,Noyon
2,Matt,1,NoyonSLT024,NA,Noyon
2,Marika,1,NoyonSLT025,NA,Noyon
2,?,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Arnica,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Arnica,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Gina,1,NoyonSLT025,NA,Noyon
2,Matt,1,NoyonSLT033,NA,Noyon
2,Abi,1,NoyonSLT033,NA,Noyon
2,Matt,1,NoyonSLT033,NA,Noyon
2,Siri,1,NoyonSLT034,NA,Noyon
2,Siri,1,NoyonSLT034,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Matt,1,NoyonSLT035,NA,Noyon
2,Kimberley,1,NoyonSLT037,NA,Noyon
2,Deborah,1,NoyonSLT037,NA,Noyon
2,Katie,1,NoyonSLT040,NA,Noyon
2,Siri,1,NoyonSLT040,NA,Noyon
2,Kimberley,1,NoyonSLT040,NA,Noyon
2,Siri,1,NoyonSLT041,NA,Noyon
2,Jen,1,NoyonSLT041,NA,Noyon
2,J Cub,1,NoyonSLT041,NA,Noyon
2,J Cub,1,NoyonSLT041,NA,Noyon
2,Siri,1,NoyonSLT041,NA,Noyon
2,Brad,1,NoyonSLT102,NA,Noyon
2,Brad,1,NoyonSLT102,NA,Noyon
2,Siri,1,NoyonSLT103,NA,Noyon
2,Matt,1,NoyonSLT103,NA,Noyon
2,Scarface,1,NoyonSLT103,NA,Noyon
2,Siri,1,NoyonSLT104,NA,Noyon
2,Brad,1,NoyonSLT104,NA,Noyon
2,Siri,1,NoyonSLT105a,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Katie,1,NoyonSLT105,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Brad,1,NoyonSLT105,NA,Noyon
2,Matt,1,NoyonSLT107,NA,Noyon
2,Matt,1,NoyonSLT107,NA,Noyon
2,Arnica,1,NoyonSLT108,NA,Noyon
2,Amber,1,NoyonSLT108,NA,Noyon
2,Matt,1,NoyonSLT108,NA,Noyon
2,Amber,1,NoyonSLT108,NA,Noyon
2,Matt,1,NoyonSLT108,NA,Noyon
